<<<<<<< HEAD
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
01 13 10
01 15 12
01 9 2
01 10 9
01 20 8
01 15 11
01 16 15
01 10 9
01 20 8
01 15 11
01 16 15
01 10 5
01 12 17
